UF,Nome_UF,Mesorregião Geográfica,Nome_Mesorregião,Microrregião Geográfica,Nome_Microrregião,Município,Código Município Completo,Nome_Município
22,Piauí,02,Centro-Norte Piauiense,004,Campo Maior,02208,2202208,Campo Maior
41,Paraná,02,Centro Ocidental Paranaense,005,Campo Mourão,04303,4104303,Campo Mourão
43,Rio Grande do Sul,01,Noroeste Rio-grandense,002,Três Passos,04002,4304002,Campo Novo
11,Rondônia,01,Madeira-Guaporé,001,Porto Velho,00700,1100700,Campo Novo de Rondônia
51,Mato Grosso,01,Norte Mato-grossense,004,Parecis,02637,5102637,Campo Novo do Parecis
24,Rio Grande do Norte,03,Agreste Potiguar,014,Borborema Potiguar,02105,2402105,Campo Redondo
51,Mato Grosso,05,Sudeste Mato-grossense,019,Primavera do Leste,02678,5102678,Campo Verde
31,Minas Gerais,05,Triângulo Mineiro/Alto Paranaíba,023,Araxá,11507,3111507,Campos Altos
52,Goiás,02,Norte Goiano,005,Chapada dos Veadeiros,04904,5204904,Campos Belos
43,Rio Grande do Sul,01,Noroeste Rio-grandense,011,Cruz Alta,04101,4304101,Campos Borges
51,Mato Grosso,01,Norte Mato-grossense,004,Parecis,02686,5102686,Campos de Júlio
35,São Paulo,13,Vale do Paraíba Paulista,049,Campos do Jordão,09700,3509700,Campos do Jordão
33,Rio de Janeiro,02,Norte Fluminense,003,Campos dos Goytacazes,01009,3301009,Campos dos Goytacazes
31,Minas Gerais,10,Sul/Sudoeste de Minas,050,Varginha,11606,3111606,Campos Gerais
17,Tocantins,02,Oriental do Tocantins,007,Jalapão,03842,1703842,Campos Lindos
42,Santa Catarina,03,Serrana,009,Curitibanos,03600,4203600,Campos Novos
35,São Paulo,10,Assis,039,Assis,09809,3509809,Campos Novos Paulista
23,Ceará,07,Sul Cearense,029,Chapada do Araripe,02701,2302701,Campos Sales
52,Goiás,02,Norte Goiano,004,Porangatu,04953,5204953,Campos Verdes
26,Pernambuco,04,Mata Pernambucana,013,Mata Setentrional Pernambucana,03603,2603603,Camutanga
31,Minas Gerais,09,Oeste de Minas,045,Campo Belo,11903,3111903,Cana Verde
31,Minas Gerais,12,Zona da Mata,062,Viçosa,11705,3111705,Canaã
15,Pará,06,Sudeste Paraense,019,Parauapebas,02152,1502152,Canaã dos Carajás
51,Mato Grosso,02,Nordeste Mato-grossense,009,Norte Araguaia,02694,5102694,Canabrava do Norte
35,São Paulo,14,Litoral Sul Paulista,055,Registro,09908,3509908,Cananéia
27,Alagoas,01,Sertão Alagoano,001,Serrana do Sertão Alagoano,01605,2701605,Canapi
29,Bahia,01,Extremo Oeste Baiano,003,Santa Maria da Vitória,06105,2906105,Canápolis
31,Minas Gerais,05,Triângulo Mineiro/Alto Paranaíba,018,Uberlândia,11804,3111804,Canápolis
29,Bahia,03,Centro Norte Baiano,009,Irecê,06204,2906204,Canarana
51,Mato Grosso,02,Nordeste Mato-grossense,010,Canarana,02702,5102702,Canarana
35,São Paulo,13,Vale do Paraíba Paulista,051,Guaratinguetá,09957,3509957,Canas
22,Piauí,03,Sudoeste Piauiense,009,Floriano,02251,2202251,Canavieira
29,Bahia,07,Sul Baiano,031,Ilhéus-Itabuna,06303,2906303,Canavieiras
29,Bahia,04,Nordeste Baiano,016,Serrinha,06402,2906402,Candeal
29,Bahia,05,Metropolitana de Salvador,021,Salvador,06501,2906501,Candeias
31,Minas Gerais,09,Oeste de Minas,045,Campo Belo,12000,3112000,Candeias
11,Rondônia,01,Madeira-Guaporé,001,Porto Velho,00809,1100809,Candeias do Jamari
43,Rio Grande do Sul,04,Centro Oriental Rio-grandense,020,Santa Cruz do Sul,04200,4304200,Candelária
29,Bahia,06,Centro Sul Baiano,026,Guanambi,06600,2906600,Candiba
41,Paraná,03,Norte Central Paranaense,013,Ivaiporã,04402,4104402,Cândido de Abreu
43,Rio Grande do Sul,01,Noroeste Rio-grandense,001,Santa Rosa,04309,4304309,Cândido Godói
21,Maranhão,02,Oeste Maranhense,007,Gurupi,02606,2102606,Cândido Mendes
35,São Paulo,10,Assis,039,Assis,10005,3510005,Cândido Mota
35,São Paulo,02,Ribeirão Preto,013,Jaboticabal,10104,3510104,Cândido Rodrigues
29,Bahia,06,Centro Sul Baiano,028,Vitória da Conquista,06709,2906709,Cândido Sales
43,Rio Grande do Sul,07,Sudeste Rio-grandense,032,Serras de Sudeste,04358,4304358,Candiota
41,Paraná,08,Centro-Sul Paranaense,029,Guarapuava,04428,4104428,Candói
43,Rio Grande do Sul,05,Metropolitana de Porto Alegre,024,Gramado-Canela,04408,4304408,Canela
42,Santa Catarina,05,Grande Florianópolis,015,Tijucas,03709,4203709,Canelinha
24,Rio Grande do Norte,04,Leste Potiguar,019,Litoral Sul,02204,2402204,Canguaretama
43,Rio Grande do Sul,07,Sudeste Rio-grandense,033,Pelotas,04507,4304507,Canguçu
28,Sergipe,03,Leste Sergipano,007,Propriá,01108,2801108,Canhoba
26,Pernambuco,03,Agreste Pernambucano,011,Garanhuns,03702,2603702,Canhotinho
23,Ceará,02,Norte Cearense,012,Canindé,02800,2302800,Canindé
28,Sergipe,01,Sertão Sergipano,001,Sergipana do Sertão do São Francisco,01207,2801207,Canindé de São Francisco
35,São Paulo,10,Assis,040,Ourinhos,10153,3510153,Canitar
43,Rio Grande do Sul,05,Metropolitana de Porto Alegre,026,Porto Alegre,04606,4304606,Canoas
42,Santa Catarina,02,Norte Catarinense,006,Canoinhas,03808,4203808,Canoinhas
29,Bahia,04,Nordeste Baiano,014,Euclides da Cunha,06808,2906808,Cansanção
14,Roraima,01,Norte de Roraima,002,Nordeste de Roraima,00175,1400175,Cantá
31,Minas Gerais,08,Vale do Rio Doce,036,Peçanha,12059,3112059,Cantagalo
33,Rio de Janeiro,03,Centro Fluminense,006,Cantagalo-Cordeiro,01108,3301108,Cantagalo
41,Paraná,08,Centro-Sul Paranaense,029,Guarapuava,04451,4104451,Cantagalo
21,Maranhão,01,Norte Maranhense,006,Itapecuru Mirim,02705,2102705,Cantanhede
22,Piauí,03,Sudoeste Piauiense,011,São Raimundo Nonato,02307,2202307,Canto do Buriti
29,Bahia,04,Nordeste Baiano,014,Euclides da Cunha,06824,2906824,Canudos
43,Rio Grande do Sul,04,Centro Oriental Rio-grandense,021,Lajeado-Estrela,04614,4304614,Canudos do Vale
13,Amazonas,04,Sul Amazonense,012,Purus,00904,1300904,Canutama
15,Pará,04,Nordeste Paraense,010,Bragantina,02202,1502202,Capanema
41,Paraná,07,Sudoeste Paranaense,025,Capanema,04501,4104501,Capanema
42,Santa Catarina,03,Serrana,010,Campos de Lages,03253,4203253,Capão Alto
35,São Paulo,11,Itapetininga,044,Capão Bonito,10203,3510203,Capão Bonito
43,Rio Grande do Sul,02,Nordeste Rio-grandense,015,Vacaria,04622,4304622,Capão Bonito do Sul
43,Rio Grande do Sul,05,Metropolitana de Porto Alegre,027,Osório,04630,4304630,Capão da Canoa
43,Rio Grande do Sul,03,Centro Ocidental Rio-grandense,017,Santiago,04655,4304655,Capão do Cipó
43,Rio Grande do Sul,07,Sudeste Rio-grandense,033,Pelotas,04663,4304663,Capão do Leão
31,Minas Gerais,12,Zona da Mata,061,Manhuaçu,12109,3112109,Caparaó
27,Alagoas,03,Leste Alagoano,009,Mata Alagoana,01704,2701704,Capela
28,Sergipe,03,Leste Sergipano,008,Cotinguiba,01306,2801306,Capela
43,Rio Grande do Sul,05,Metropolitana de Porto Alegre,023,Montenegro,04689,4304689,Capela de Santana
35,São Paulo,12,Macro Metropolitana Paulista,046,Sorocaba,10302,3510302,Capela do Alto
29,Bahia,04,Nordeste Baiano,016,Serrinha,06857,2906857,Capela do Alto Alegre
31,Minas Gerais,11,Campo das Vertentes,059,Barbacena,12208,3112208,Capela Nova
31,Minas Gerais,03,Jequitinhonha,011,Capelinha,12307,3112307,Capelinha
31,Minas Gerais,10,Sul/Sudoeste de Minas,047,Passos,12406,3112406,Capetinga
25,Paraíba,04,Mata Paraibana,020,Litoral Norte,04033,2504033,Capim
31,Minas Gerais,07,Metropolitana de Belo Horizonte,027,Sete Lagoas,12505,3112505,Capim Branco
29,Bahia,03,Centro Norte Baiano,010,Jacobina,06873,2906873,Capim Grosso
31,Minas Gerais,05,Triângulo Mineiro/Alto Paranaíba,017,Ituiutaba,12604,3112604,Capinópolis
42,Santa Catarina,01,Oeste Catarinense,004,Joaçaba,03907,4203907,Capinzal
21,Maranhão,04,Leste Maranhense,015,Codó,02754,2102754,Capinzal do Norte
23,Ceará,02,Norte Cearense,013,Baturité,02909,2302909,Capistrano
43,Rio Grande do Sul,04,Centro Oriental Rio-grandense,021,Lajeado-Estrela,04697,4304697,Capitão
31,Minas Gerais,08,Vale do Rio Doce,037,Governador Valadares,12653,3112653,Capitão Andrade
22,Piauí,02,Centro-Norte Piauiense,004,Campo Maior,02406,2202406,Capitão de Campos
31,Minas Gerais,02,Norte de Minas,007,Montes Claros,12703,3112703,Capitão Enéas
22,Piauí,04,Sudeste Piauiense,015,Alto Médio Canindé,02455,2202455,Capitão Gervásio Oliveira
41,Paraná,06,Oeste Paranaense,023,Cascavel,04600,4104600,Capitão Leônidas Marques
15,Pará,04,Nordeste Paraense,013,Guamá,02301,1502301,Capitão Poço
31,Minas Gerais,10,Sul/Sudoeste de Minas,047,Passos,12802,3112802,Capitólio
35,São Paulo,06,Piracicaba,028,Piracicaba,10401,3510401,Capivari
42,Santa Catarina,06,Sul Catarinense,018,Tubarão,03956,4203956,Capivari de Baixo
43,Rio Grande do Sul,05,Metropolitana de Porto Alegre,027,Osório,04671,4304671,Capivari do Sul
12,Acre,02,Vale do Acre,004,Rio Branco,00179,1200179,Capixaba
26,Pernambuco,03,Agreste Pernambucano,008,Vale do Ipojuca,03801,2603801,Capoeiras
31,Minas Gerais,12,Zona da Mata,061,Manhuaçu,12901,3112901,Caputira
43,Rio Grande do Sul,05,Metropolitana de Porto Alegre,027,Osório,04713,4304713,Caraá
14,Roraima,02,Sul de Roraima,003,Caracaraí,00209,1400209,Caracaraí
22,Piauí,03,Sudoeste Piauiense,011,São Raimundo Nonato,02505,2202505,Caracol
50,Mato Grosso do Sul,04,Sudoeste de Mato Grosso do Sul,009,Bodoquena,02803,5002803,Caracol
35,São Paulo,13,Vale do Paraíba Paulista,054,Caraguatatuba,10500,3510500,Caraguatatuba
31,Minas Gerais,03,Jequitinhonha,012,Araçuaí,13008,3113008,Caraí
29,Bahia,06,Centro Sul Baiano,027,Brumado,06899,2906899,Caraíbas
41,Paraná,05,Centro Oriental Paranaense,021,Ponta Grossa,04659,4104659,Carambeí
31,Minas Gerais,11,Campo das Vertentes,059,Barbacena,13107,3113107,Caranaíba
31,Minas Gerais,11,Campo das Vertentes,059,Barbacena,13206,3113206,Carandaí
31,Minas Gerais,12,Zona da Mata,063,Muriaé,13305,3113305,Carangola
33,Rio de Janeiro,02,Norte Fluminense,004,Macaé,00936,3300936,Carapebus
35,São Paulo,15,Metropolitana de São Paulo,057,Osasco,10609,3510609,Carapicuíba
31,Minas Gerais,08,Vale do Rio Doce,040,Caratinga,13404,3113404,Caratinga
13,Amazonas,02,Sudoeste Amazonense,004,Juruá,01001,1301001,Carauari
24,Rio Grande do Norte,01,Oeste Potiguar,002,Chapada do Apodi,02303,2402303,Caraúbas
25,Paraíba,02,Borborema,011,Cariri Oriental,04074,2504074,Caraúbas
22,Piauí,01,Norte Piauiense,002,Litoral Piauiense,02539,2202539,Caraúbas do Piauí
29,Bahia,07,Sul Baiano,032,Porto Seguro,06907,2906907,Caravelas
43,Rio Grande do Sul,01,Noroeste Rio-grandense,009,Carazinho,04705,4304705,Carazinho
31,Minas Gerais,03,Jequitinhonha,011,Capelinha,13503,3113503,Carbonita
29,Bahia,04,Nordeste Baiano,018,Entre Rios,07004,2907004,Cardeal da Silva
35,São Paulo,01,São José do Rio Preto,003,Votuporanga,10708,3510708,Cardoso
33,Rio de Janeiro,02,Norte Fluminense,003,Campos dos Goytacazes,01157,3301157,Cardoso Moreira
31,Minas Gerais,10,Sul/Sudoeste de Minas,053,Santa Rita do Sapucaí,13602,3113602,Careaçu
13,Amazonas,03,Centro Amazonense,007,Manaus,01100,1301100,Careiro
13,Amazonas,03,Centro Amazonense,007,Manaus,01159,1301159,Careiro da Várzea
32,Espírito Santo,03,Central Espírito-santense,009,Vitória,01308,3201308,Cariacica
23,Ceará,02,Norte Cearense,012,Canindé,03006,2303006,Caridade
22,Piauí,04,Sudeste Piauiense,015,Alto Médio Canindé,02554,2202554,Caridade do Piauí
29,Bahia,02,Vale São-Franciscano da Bahia,007,Bom Jesus da Lapa,07103,2907103,Carinhanha
28,Sergipe,01,Sertão Sergipano,002,Carira,01405,2801405,Carira
23,Ceará,01,Noroeste Cearense,005,Sobral,03105,2303105,Cariré
17,Tocantins,01,Ocidental do Tocantins,005,Gurupi,03867,1703867,Cariri do Tocantins
23,Ceará,07,Sul Cearense,030,Caririaçu,03204,2303204,Caririaçu
23,Ceará,06,Centro-Sul Cearense,027,Várzea Alegre,03303,2303303,Cariús
51,Mato Grosso,01,Norte Mato-grossense,002,Alta Floresta,02793,5102793,Carlinda
41,Paraná,04,Norte Pioneiro Paranaense,018,Wenceslau Braz,04709,4104709,Carlópolis
43,Rio Grande do Sul,02,Nordeste Rio-grandense,016,Caxias do Sul,04804,4304804,Carlos Barbosa
31,Minas Gerais,04,Vale do Mucuri,016,Nanuque,13701,3113701,Carlos Chagas
43,Rio Grande do Sul,01,Noroeste Rio-grandense,004,Erechim,04853,4304853,Carlos Gomes
31,Minas Gerais,08,Vale do Rio Doce,035,Guanhães,13800,3113800,Carmésia
33,Rio de Janeiro,03,Centro Fluminense,006,Cantagalo-Cordeiro,01207,3301207,Carmo
31,Minas Gerais,10,Sul/Sudoeste de Minas,050,Varginha,13909,3113909,Carmo da Cachoeira
31,Minas Gerais,09,Oeste de Minas,046,Oliveira,14006,3114006,Carmo da Mata
31,Minas Gerais,10,Sul/Sudoeste de Minas,054,São Lourenço,14105,3114105,Carmo de Minas
31,Minas Gerais,09,Oeste de Minas,043,Divinópolis,14204,3114204,Carmo do Cajuru
31,Minas Gerais,05,Triângulo Mineiro/Alto Paranaíba,020,Patos de Minas,14303,3114303,Carmo do Paranaíba
31,Minas Gerais,10,Sul/Sudoeste de Minas,049,Alfenas,14402,3114402,Carmo do Rio Claro
52,Goiás,03,Centro Goiano,006,Ceres,05000,5205000,Carmo do Rio Verde
17,Tocantins,01,Ocidental do Tocantins,002,Araguaína,03883,1703883,Carmolândia
28,Sergipe,03,Leste Sergipano,010,Baixo Cotinguiba,01504,2801504,Carmópolis
31,Minas Gerais,09,Oeste de Minas,046,Oliveira,14501,3114501,Carmópolis de Minas
26,Pernambuco,01,Sertão Pernambucano,003,Pajeú,03900,2603900,Carnaíba
24,Rio Grande do Norte,02,Central Potiguar,012,Seridó Oriental,02402,2402402,Carnaúba dos Dantas
24,Rio Grande do Norte,01,Oeste Potiguar,004,Vale do Açu,02501,2402501,Carnaubais
23,Ceará,01,Noroeste Cearense,002,Ibiapaba,03402,2303402,Carnaubal
26,Pernambuco,02,São Francisco Pernambucano,006,Itaparica,03926,2603926,Carnaubeira da Penha
31,Minas Gerais,05,Triângulo Mineiro/Alto Paranaíba,021,Frutal,14550,3114550,Carneirinho
27,Alagoas,01,Sertão Alagoano,003,Santana do Ipanema,01803,2701803,Carneiros
14,Roraima,02,Sul de Roraima,004,Sudeste de Roraima,00233,1400233,Caroebe
21,Maranhão,05,Sul Maranhense,019,Porto Franco,02804,2102804,Carolina
26,Pernambuco,04,Mata Pernambucana,013,Mata Setentrional Pernambucana,04007,2604007,Carpina
31,Minas Gerais,11,Campo das Vertentes,057,Lavras,14600,3114600,Carrancas
25,Paraíba,01,Sertão Paraibano,002,Cajazeiras,04108,2504108,Carrapateira
17,Tocantins,01,Ocidental do Tocantins,001,Bico do Papagaio,03891,1703891,Carrasco Bonito
26,Pernambuco,03,Agreste Pernambucano,008,Vale do Ipojuca,04106,2604106,Caruaru
21,Maranhão,02,Oeste Maranhense,007,Gurupi,02903,2102903,Carutapera
31,Minas Gerais,10,Sul/Sudoeste de Minas,049,Alfenas,14709,3114709,Carvalhópolis
31,Minas Gerais,10,Sul/Sudoeste de Minas,055,Andrelândia,14808,3114808,Carvalhos
35,São Paulo,07,Campinas,030,São João da Boa Vista,10807,3510807,Casa Branca
31,Minas Gerais,07,Metropolitana de Belo Horizonte,034,Conselheiro Lafaiete,14907,3114907,Casa Grande
29,Bahia,02,Vale São-Franciscano da Bahia,004,Juazeiro,07202,2907202,Casa Nova
43,Rio Grande do Sul,01,Noroeste Rio-grandense,010,Passo Fundo,04903,4304903,Casca
31,Minas Gerais,05,Triângulo Mineiro/Alto Paranaíba,018,Uberlândia,15003,3115003,Cascalho Rico
23,Ceará,02,Norte Cearense,015,Cascavel,03501,2303501,Cascavel
41,Paraná,06,Oeste Paranaense,023,Cascavel,04808,4104808,Cascavel
17,Tocantins,01,Ocidental do Tocantins,003,Miracema do Tocantins,03909,1703909,Caseara
43,Rio Grande do Sul,01,Noroeste Rio-grandense,010,Passo Fundo,04952,4304952,Caseiros
33,Rio de Janeiro,04,Baixadas,009,Bacia de São João,01306,3301306,Casimiro de Abreu
26,Pernambuco,03,Agreste Pernambucano,009,Alto Capibaribe,04155,2604155,Casinhas
25,Paraíba,03,Agreste Paraibano,013,Curimataú Oriental,04157,2504157,Casserengue
31,Minas Gerais,10,Sul/Sudoeste de Minas,047,Passos,15102,3115102,Cássia
35,São Paulo,02,Ribeirão Preto,015,Batatais,10906,3510906,Cássia dos Coqueiros
50,Mato Grosso do Sul,03,Leste de Mato Grosso do Sul,005,Cassilândia,02902,5002902,Cassilândia
15,Pará,03,Metropolitana de Belém,008,Castanhal,02400,1502400,Castanhal
51,Mato Grosso,01,Norte Mato-grossense,001,Aripuanã,02850,5102850,Castanheira
11,Rondônia,02,Leste Rondoniense,006,Cacoal,00908,1100908,Castanheiras
52,Goiás,05,Sul Goiano,013,Sudoeste de Goiás,05059,5205059,Castelândia
32,Espírito Santo,04,Sul Espírito-santense,012,Cachoeiro de Itapemirim,01407,3201407,Castelo
22,Piauí,02,Centro-Norte Piauiense,004,Campo Maior,02604,2202604,Castelo do Piauí
35,São Paulo,03,Araçatuba,016,Andradina,11003,3511003,Castilho
41,Paraná,05,Centro Oriental Paranaense,021,Ponta Grossa,04907,4104907,Castro
29,Bahia,05,Metropolitana de Salvador,020,Santo Antônio de Jesus,07301,2907301,Castro Alves
31,Minas Gerais,12,Zona da Mata,066,Cataguases,15300,3115300,Cataguases
52,Goiás,05,Sul Goiano,017,Catalão,05109,5205109,Catalão
35,São Paulo,01,São José do Rio Preto,005,Catanduva,11102,3511102,Catanduva
41,Paraná,06,Oeste Paranaense,023,Cascavel,05003,4105003,Catanduvas
42,Santa Catarina,01,Oeste Catarinense,004,Joaçaba,04004,4204004,Catanduvas
23,Ceará,04,Sertões Cearenses,020,Sertão de Inhamuns,03600,2303600,Catarina
31,Minas Gerais,07,Metropolitana de Belo Horizonte,031,Itabira,15359,3115359,Catas Altas
31,Minas Gerais,07,Metropolitana de Belo Horizonte,034,Conselheiro Lafaiete,15409,3115409,Catas Altas da Noruega
26,Pernambuco,04,Mata Pernambucana,015,Mata Meridional Pernambucana,04205,2604205,Catende
35,São Paulo,01,São José do Rio Preto,005,Catanduva,11201,3511201,Catiguá
25,Paraíba,01,Sertão Paraibano,005,Piancó,04207,2504207,Catingueira
29,Bahia,01,Extremo Oeste Baiano,001,Barreiras,07400,2907400,Catolândia
25,Paraíba,01,Sertão Paraibano,001,Catolé do Rocha,04306,2504306,Catolé do Rocha
29,Bahia,05,Metropolitana de Salvador,019,Catu,07509,2907509,Catu
43,Rio Grande do Sul,01,Noroeste Rio-grandense,007,Santo Ângelo,05009,4305009,Catuípe
31,Minas Gerais,04,Vale do Mucuri,015,Teófilo Otoni,15458,3115458,Catuji
23,Ceará,01,Noroeste Cearense,007,Santa Quitéria,03659,2303659,Catunda
52,Goiás,03,Centro Goiano,007,Anápolis,05208,5205208,Caturaí
29,Bahia,06,Centro Sul Baiano,022,Boquira,07558,2907558,Caturama
25,Paraíba,02,Borborema,011,Cariri Oriental,04355,2504355,Caturité
31,Minas Gerais,02,Norte de Minas,004,Janaúba,15474,3115474,Catuti
23,Ceará,03,Metropolitana de Fortaleza,016,Fortaleza,03709,2303709,Caucaia
52,Goiás,02,Norte Goiano,005,Chapada dos Veadeiros,05307,5205307,Cavalcante
31,Minas Gerais,10,Sul/Sudoeste de Minas,054,São Lourenço,15508,3115508,Caxambu
42,Santa Catarina,01,Oeste Catarinense,002,Chapecó,04103,4204103,Caxambu do Sul
21,Maranhão,04,Leste Maranhense,017,Caxias,03000,2103000,Caxias
43,Rio Grande do Sul,02,Nordeste Rio-grandense,016,Caxias do Sul,05108,4305108,Caxias do Sul
22,Piauí,01,Norte Piauiense,002,Litoral Piauiense,02653,2202653,Caxingó
24,Rio Grande do Norte,04,Leste Potiguar,017,Macaíba,02600,2402600,Ceará-Mirim
21,Maranhão,01,Norte Maranhense,001,Litoral Ocidental Maranhense,03109,2103109,Cedral
35,São Paulo,01,São José do Rio Preto,004,São José do Rio Preto,11300,3511300,Cedral
23,Ceará,06,Centro-Sul Cearense,026,Iguatu,03808,2303808,Cedro
26,Pernambuco,01,Sertão Pernambucano,002,Salgueiro,04304,2604304,Cedro
28,Sergipe,03,Leste Sergipano,007,Propriá,01603,2801603,Cedro de São João
31,Minas Gerais,06,Central Mineira,024,Três Marias,15607,3115607,Cedro do Abaeté
42,Santa Catarina,03,Serrana,010,Campos de Lages,04152,4204152,Celso Ramos
17,Tocantins,02,Oriental do Tocantins,007,Jalapão,04105,1704105,Centenário
43,Rio Grande do Sul,01,Noroeste Rio-grandense,004,Erechim,05116,4305116,Centenário
41,Paraná,03,Norte Central Paranaense,006,Astorga,05102,4105102,Centenário do Sul
29,Bahia,03,Centro Norte Baiano,009,Irecê,07608,2907608,Central
31,Minas Gerais,08,Vale do Rio Doce,038,Mantena,15706,3115706,Central de Minas
21,Maranhão,01,Norte Maranhense,001,Litoral Ocidental Maranhense,03125,2103125,Central do Maranhão
31,Minas Gerais,05,Triângulo Mineiro/Alto Paranaíba,018,Uberlândia,15805,3115805,Centralina
21,Maranhão,02,Oeste Maranhense,007,Gurupi,03158,2103158,Centro do Guilherme
21,Maranhão,02,Oeste Maranhense,007,Gurupi,03174,2103174,Centro Novo do Maranhão
11,Rondônia,02,Leste Rondoniense,008,Colorado do Oeste,00056,1100056,Cerejeiras
52,Goiás,03,Centro Goiano,006,Ceres,05406,5205406,Ceres
35,São Paulo,04,Bauru,022,Avaré,11409,3511409,Cerqueira César
35,São Paulo,11,Itapetininga,043,Tatuí,11508,3511508,Cerquilho
43,Rio Grande do Sul,07,Sudeste Rio-grandense,033,Pelotas,05124,4305124,Cerrito
41,Paraná,10,Metropolitana de Curitiba,035,Cerro Azul,05201,4105201,Cerro Azul
43,Rio Grande do Sul,04,Centro Oriental Rio-grandense,022,Cachoeira do Sul,05132,4305132,Cerro Branco
24,Rio Grande do Norte,02,Central Potiguar,010,Serra de Santana,02709,2402709,Cerro Corá
43,Rio Grande do Sul,01,Noroeste Rio-grandense,009,Carazinho,05157,4305157,Cerro Grande
43,Rio Grande do Sul,05,Metropolitana de Porto Alegre,028,Camaquã,05173,4305173,Cerro Grande do Sul
43,Rio Grande do Sul,01,Noroeste Rio-grandense,006,Cerro Largo,05207,4305207,Cerro Largo
42,Santa Catarina,03,Serrana,010,Campos de Lages,04178,4204178,Cerro Negro
35,São Paulo,11,Itapetininga,043,Tatuí,11607,3511607,Cesário Lange
41,Paraná,06,Oeste Paranaense,024,Foz do Iguaçu,05300,4105300,Céu Azul
52,Goiás,05,Sul Goiano,014,Vale do Rio dos Bois,05455,5205455,Cezarina
26,Pernambuco,04,Mata Pernambucana,014,Vitória de Santo Antão,04403,2604403,Chã de Alegria
26,Pernambuco,04,Mata Pernambucana,014,Vitória de Santo Antão,04502,2604502,Chã Grande
27,Alagoas,03,Leste Alagoano,008,Serrana dos Quilombos,01902,2701902,Chã Preta
31,Minas Gerais,12,Zona da Mata,065,Juiz de Fora,15904,3115904,Chácara
31,Minas Gerais,12,Zona da Mata,061,Manhuaçu,16001,3116001,Chalé
43,Rio Grande do Sul,01,Noroeste Rio-grandense,009,Carazinho,05306,4305306,Chapada
17,Tocantins,02,Oriental do Tocantins,008,Dianópolis,05102,1705102,Chapada da Natividade
17,Tocantins,01,Ocidental do Tocantins,004,Rio Formoso,04600,1704600,Chapada de Areia
31,Minas Gerais,03,Jequitinhonha,011,Capelinha,16100,3116100,Chapada do Norte
51,Mato Grosso,04,Centro-Sul Mato-grossense,017,Cuiabá,03007,5103007,Chapada dos Guimarães
31,Minas Gerais,02,Norte de Minas,003,Januária,16159,3116159,Chapada Gaúcha
52,Goiás,05,Sul Goiano,013,Sudoeste de Goiás,05471,5205471,Chapadão do Céu
42,Santa Catarina,04,Vale do Itajaí,014,Ituporanga,04194,4204194,Chapadão do Lageado
50,Mato Grosso do Sul,03,Leste de Mato Grosso do Sul,005,Cassilândia,02951,5002951,Chapadão do Sul
21,Maranhão,04,Leste Maranhense,014,Chapadinha,03208,2103208,Chapadinha
42,Santa Catarina,01,Oeste Catarinense,002,Chapecó,04202,4204202,Chapecó
35,São Paulo,06,Piracicaba,028,Piracicaba,11706,3511706,Charqueada
43,Rio Grande do Sul,05,Metropolitana de Porto Alegre,025,São Jerônimo,05355,4305355,Charqueadas
43,Rio Grande do Sul,01,Noroeste Rio-grandense,010,Passo Fundo,05371,4305371,Charrua
23,Ceará,01,Noroeste Cearense,001,Litoral de Camocim e Acaraú,03907,2303907,Chaval
35,São Paulo,10,Assis,040,Ourinhos,57204,3557204,Chavantes
15,Pará,02,Marajó,006,Arari,02509,1502509,Chaves
31,Minas Gerais,12,Zona da Mata,065,Juiz de Fora,16209,3116209,Chiador
43,Rio Grande do Sul,01,Noroeste Rio-grandense,008,Ijuí,05405,4305405,Chiapetta
41,Paraná,07,Sudoeste Paranaense,027,Pato Branco,05409,4105409,Chopinzinho
23,Ceará,04,Sertões Cearenses,019,Sertão de Quixeramobim,03931,2303931,Choró
23,Ceará,02,Norte Cearense,014,Chorozinho,03956,2303956,Chorozinho
29,Bahia,02,Vale São-Franciscano da Bahia,005,Paulo Afonso,07707,2907707,Chorrochó
43,Rio Grande do Sul,07,Sudeste Rio-grandense,035,Litoral Lagunar,05439,4305439,Chuí
11,Rondônia,02,Leste Rondoniense,007,Vilhena,00924,1100924,Chupinguaia
43,Rio Grande do Sul,05,Metropolitana de Porto Alegre,028,Camaquã,05447,4305447,Chuvisca
41,Paraná,01,Noroeste Paranaense,003,Cianorte,05508,4105508,Cianorte
29,Bahia,04,Nordeste Baiano,015,Ribeira do Pombal,07806,2907806,Cícero Dantas
41,Paraná,01,Noroeste Paranaense,003,Cianorte,05607,4105607,Cidade Gaúcha
52,Goiás,04,Leste Goiano,012,Entorno de Brasília,05497,5205497,Cidade Ocidental
21,Maranhão,02,Oeste Maranhense,009,Imperatriz,03257,2103257,Cidelândia
43,Rio Grande do Sul,05,Metropolitana de Porto Alegre,027,Osório,05454,4305454,Cidreira
29,Bahia,04,Nordeste Baiano,015,Ribeira do Pombal,07905,2907905,Cipó
31,Minas Gerais,12,Zona da Mata,062,Viçosa,16308,3116308,Cipotânea
43,Rio Grande do Sul,01,Noroeste Rio-grandense,010,Passo Fundo,05504,4305504,Ciríaco
31,Minas Gerais,10,Sul/Sudoeste de Minas,047,Passos,16407,3116407,Claraval
31,Minas Gerais,02,Norte de Minas,007,Montes Claros,16506,3116506,Claro dos Poções
51,Mato Grosso,01,Norte Mato-grossense,007,Sinop,03056,5103056,Cláudia
